Customer_ID,Recency_Days,Frequency_Orders,Monetary_Spend,Category_Diversity,Engagement_Score,Support_Tickets,Discount_Ratio,Return_Rate,Age,Preferred_Channel,Avg_Order_Value,Gender,Churn_Risk_Index,R_Score,F_Score,M_Score,RFM_Score_Sum,RFM_Group,KMeans_Cluster,DBSCAN_Cluster,HAC_Cluster,GMM_Cluster,PCA_1,PCA_2,PCA_3
CUST-10001,49,39,3533.1986438619742,6,73.84441406498121,1,0.20275958255215384,0.027433087235358016,49,Mobile App,90.59,Female,0.1542,3,4,3,10,343,1,0,0,1,-1.0361024516027177,1.1271260944396517,-0.3734334218100854
CUST-10002,303,54,2805.2111545413586,6,18.51841477412131,7,0.27362317762623845,0.19134597492054442,42,Web,51.95,Male,0.7701,1,5,3,9,153,2,0,1,0,3.5446675008836337,0.3177426965321419,0.23859990760469277
CUST-10003,154,50,3153.551901333728,6,43.95538869071026,3,0.34913924104526384,0.11724611985901962,67,Web,63.07,Male,0.4277,1,5,3,9,153,2,0,1,0,1.5467728155445637,0.5875365121412105,-0.3102501399890327
CUST-10004,31,41,2507.7693293262664,4,82.10188240775462,2,0.3281503518245983,0.08880305189519813,26,Web,61.17,Female,0.1418,3,4,3,10,343,1,0,0,1,-0.7208142183561214,0.3091353774035957,-0.7960508220750724
CUST-10005,26,36,4315.101629168238,6,86.9335006804799,0,0.05383357750499556,0.04023925600244086,45,Mobile App,119.86,Male,0.0817,4,3,4,11,434,1,0,0,1,-1.7509035429122282,1.5769630709260816,-0.054675908312668595
CUST-10006,6,85,5750.983565995331,6,83.02470747145158,2,0.23922309242672657,0.03613165213958271,34,Web,67.66,Female,0.0877,5,5,4,14,554,1,0,0,1,-1.6659573137533983,1.667631090209558,-1.0493637134996776
CUST-10007,16,68,4280.5426111726565,7,81.58816016416988,0,0.12836217892343432,0.0661681249115927,37,Web,62.95,Non-Binary,0.09,4,5,4,13,454,1,0,0,0,-1.2607005984858086,1.7773380240169179,-0.859286173634093
CUST-10008,156,54,6405.582720886861,3,13.76289945699979,4,0.4644551771940889,0.09191455921125434,34,In-Store,118.62,Female,0.5099,1,5,4,10,154,2,0,1,2,2.359907788161548,-0.0386300031493973,0.6623481000980045
CUST-10009,258,43,5228.801823882492,5,30.93885256809682,10,0.28077685477969444,0.17680514323361138,35,Web,121.6,Female,0.71,1,4,4,9,144,2,0,1,0,3.0305541939435474,0.6374190112465221,0.8526620921344669
CUST-10010,26,32,2559.552820163975,7,78.87857625290354,1,0.3666520572322897,0.09947293407362785,30,Web,79.99,Female,0.1341,4,3,3,10,433,1,0,0,1,-0.7015360473355133,1.0101410999925224,-0.7289965485585883
CUST-10011,352,33,7241.098513094011,6,30.287069958281467,5,0.38191746673289206,0.16556144273053044,30,In-Store,219.43,Male,0.7742,1,3,5,9,135,2,0,1,2,3.274755423254345,0.9557462049035906,1.3372396958630122
CUST-10012,25,56,7469.973958954544,9,77.91603303122203,2,0.22738498004185392,0.055206756885864426,27,Mobile App,133.39,Female,0.1329,4,5,5,14,455,1,0,0,1,-1.0530697713128838,2.5204514512755183,-0.550530871494457
CUST-10013,25,33,3929.2531673584454,5,75.83172293343722,2,0.2556348450559637,0.049833774358749874,38,Web,119.07,Male,0.1363,4,3,4,11,434,1,0,0,1,-1.0671574694303614,0.9266546272299216,-0.013741193114900598
CUST-10014,59,39,1808.4978518677724,4,78.18171176131085,0,0.323350213357261,0.1190642737172179,48,Web,46.37,Male,0.1751,2,4,2,8,242,1,0,0,1,-0.16914510409597433,0.0017502162654023596,-0.9015773750241366
CUST-10015,114,16,600.9750232165144,4,70.44241072755435,3,0.9509519954149803,0.08029907838033065,45,Web,37.56,Female,0.2943,2,1,1,4,211,0,0,3,0,0.4876268527649702,-1.7441371787627602,-1.6466627282957176
CUST-10016,144,27,1438.0552495813088,4,46.89491096727785,1,0.7875539742051348,0.0560539032155877,38,Mobile App,53.26,Female,0.3612,2,2,2,6,222,0,0,3,0,0.9302664769784456,-1.0800510001459136,-1.0656688683865243
CUST-10017,34,21,3380.092625614101,6,69.87001921157383,1,0.3701054757184012,0.0633723702831421,27,Web,160.96,Female,0.1555,3,2,3,8,323,1,0,0,1,-0.7043624839937971,0.852849468987869,0.2078256369846885
CUST-10018,34,13,688.1422089503357,3,69.48458505258733,1,0.7886340003638963,0.16397238874576817,25,Mobile App,52.93,Female,0.19,3,1,2,6,312,0,0,3,0,0.08679805506174146,-1.701532804271458,-1.1543310784532994
CUST-10019,14,44,2057.0765833102887,5,63.371871160201195,0,0.25802572435290705,0.07519012184951723,30,Web,46.75,Male,0.1358,5,4,3,12,543,1,0,0,1,-0.8508525461768478,0.3587395620303407,-0.7373414873803573
CUST-10020,44,40,2487.5445441264874,6,61.34831457102178,2,0.15769379456479002,0.08174627479132213,57,Web,62.19,Male,0.2092,3,4,3,10,343,1,0,0,1,-0.2672805398061587,0.8228175914131463,-0.2710022939045671
