Customer_ID,Recency_Days,Frequency_Orders,Monetary_Spend,Category_Diversity,Engagement_Score,Support_Tickets,Discount_Ratio,Return_Rate,Age,Preferred_Channel,Avg_Order_Value,Gender,Churn_Risk_Index
CUST-10001,49,39,3533.1986438619742,6,73.84441406498121,1,0.20275958255215384,0.027433087235358016,49,Mobile App,90.59,Female,0.1542
CUST-10002,303,54,2805.2111545413586,6,18.51841477412131,7,0.27362317762623845,0.19134597492054442,42,Web,51.95,Male,0.7701
CUST-10003,154,50,3153.551901333728,6,43.95538869071026,3,0.34913924104526384,0.11724611985901962,67,Web,63.07,Male,0.4277
CUST-10004,31,41,2507.7693293262664,4,82.10188240775462,2,0.3281503518245983,0.08880305189519813,26,Web,61.17,Female,0.1418
CUST-10005,26,36,4315.101629168238,6,86.9335006804799,0,0.05383357750499556,0.04023925600244086,45,Mobile App,119.86,Male,0.0817
CUST-10006,6,85,5750.983565995331,6,83.02470747145158,2,0.23922309242672657,0.03613165213958271,34,Web,67.66,Female,0.0877
CUST-10007,16,68,4280.5426111726565,7,81.58816016416988,0,0.12836217892343432,0.0661681249115927,37,Web,62.95,Non-Binary,0.09
CUST-10008,156,54,6405.582720886861,3,13.76289945699979,4,0.4644551771940889,0.09191455921125434,34,In-Store,118.62,Female,0.5099
CUST-10009,258,43,5228.801823882492,5,30.93885256809682,10,0.28077685477969444,0.17680514323361138,35,Web,121.6,Female,0.71
CUST-10010,26,32,2559.552820163975,7,78.87857625290354,1,0.3666520572322897,0.09947293407362785,30,Web,79.99,Female,0.1341
CUST-10011,352,33,7241.098513094011,6,30.287069958281467,5,0.38191746673289206,0.16556144273053044,30,In-Store,219.43,Male,0.7742
CUST-10012,25,56,7469.973958954544,9,77.91603303122203,2,0.22738498004185392,0.055206756885864426,27,Mobile App,133.39,Female,0.1329
CUST-10013,25,33,3929.2531673584454,5,75.83172293343722,2,0.2556348450559637,0.049833774358749874,38,Web,119.07,Male,0.1363
CUST-10014,59,39,1808.4978518677724,4,78.18171176131085,0,0.323350213357261,0.1190642737172179,48,Web,46.37,Male,0.1751
CUST-10015,114,16,600.9750232165144,4,70.44241072755435,3,0.9509519954149803,0.08029907838033065,45,Web,37.56,Female,0.2943
CUST-10016,144,27,1438.0552495813088,4,46.89491096727785,1,0.7875539742051348,0.0560539032155877,38,Mobile App,53.26,Female,0.3612
CUST-10017,34,21,3380.092625614101,6,69.87001921157383,1,0.3701054757184012,0.0633723702831421,27,Web,160.96,Female,0.1555
CUST-10018,34,13,688.1422089503357,3,69.48458505258733,1,0.7886340003638963,0.16397238874576817,25,Mobile App,52.93,Female,0.19
CUST-10019,14,44,2057.0765833102887,5,63.371871160201195,0,0.25802572435290705,0.07519012184951723,30,Web,46.75,Male,0.1358
CUST-10020,44,40,2487.5445441264874,6,61.34831457102178,2,0.15769379456479002,0.08174627479132213,57,Web,62.19,Male,0.2092
CUST-10021,28,31,3178.09242352418,5,75.27398748580637,2,0.24207386691392738,0.05734445911454354,34,Mobile App,102.52,Male,0.1443
CUST-10022,97,31,1054.081963432086,2,60.40430708037803,4,0.7307816591172043,0.0939214267878035,19,Mobile App,34.0,Female,0.3132
CUST-10023,58,42,4482.517117300041,5,68.51439843552797,0,0.2505773834478665,0.03615979559580212,26,Mobile App,106.73,Female,0.1702
CUST-10024,17,74,6487.082339004579,8,79.88483697328552,0,0.247160731890061,0.06870262212737736,45,Mobile App,87.66,Female,0.0965
CUST-10025,178,60,8586.119129483739,4,77.33919049676643,6,0.4209527716808168,0.11046026071642358,27,Web,143.1,Female,0.4123
CUST-10026,28,51,10760.308424631734,9,79.8366810721515,0,0.1359245727793688,0.029525665325143377,35,Mobile App,210.99,Male,0.0986
CUST-10027,21,3,151.90207355706576,1,76.65478809671015,1,0.20930936077491907,0.017996915860636228,34,Mobile App,50.63,Male,0.1056
CUST-10028,22,44,11385.183054060442,8,95.05152541781267,1,0.0983777767108292,0.07377480919371686,26,Mobile App,258.75,Female,0.0796
CUST-10029,1,1,103.05720961064063,1,77.64152769960279,1,0.23138992379346476,0.04808420737879896,41,Web,103.06,Male,0.0858
CUST-10030,23,48,13476.660577574869,6,82.30782078597483,0,0.08623665581001656,0.05359273822678888,39,Mobile App,280.76,Female,0.0936
CUST-10031,26,40,4295.145555732079,6,67.12890721854212,1,0.352754027565664,0.03571824716083735,24,Mobile App,107.38,Male,0.1422
CUST-10032,1,89,13837.920113952683,7,90.72416914858411,0,0.23480537408514657,0.01783164315843867,53,Mobile App,155.48,Female,0.0305
CUST-10033,165,13,11593.759697980131,4,46.01667526297754,6,0.14233202613101692,0.022208512911993317,66,Mobile App,891.83,Non-Binary,0.4434
CUST-10034,291,53,4254.094973512798,1,28.112882049779,0,0.9334193116272159,0.025382455810992164,67,Mobile App,80.27,Male,0.5868
CUST-10035,34,34,2256.943451606678,4,66.99968873635244,0,0.2802755035736238,0.04856488707180552,38,Web,66.38,Female,0.1453
CUST-10036,229,25,6165.686199489204,4,37.67996621903989,10,0.4535726311522496,0.09493555133550748,61,Web,246.63,Male,0.6261
CUST-10037,81,45,1081.618534426495,4,61.76235700114897,1,0.962755518172451,0.16898004505311004,18,Mobile App,24.04,Male,0.2754
CUST-10038,21,3,161.13837003129552,2,57.51400213446374,0,0.308406110866328,0.01257671861956891,46,Mobile App,53.71,Female,0.1392
CUST-10039,30,27,3023.4579492586718,4,18.390590036393917,3,0.18545715808413699,0.22965832723220336,25,In-Store,111.98,Female,0.3592
